1,Daniella Ristorante,43,22,18,20,0,40.7468312,-73.9967577
2,Tello's Ristorante,32,20,19,19,0,40.7434213,-73.9995369
3,Biricchino,34,21,13,18,0,40.7488643,-73.9955188
4,Bottino,41,20,20,17,0,40.7484846,-74.0033127
5,Da Umberto,54,24,19,21,0,40.7395815,-73.9959104
6,Le Madri,52,22,22,21,0,40.7406934,-73.9975525
7,Le Zie,34,22,16,21,0,40.7425173,-73.9970315
8,Pasticcio,34,20,18,21,1,40.7435574,-73.9794886
9,Belluno,39,22,19,22,1,40.7574742,-73.9866043
10,Cinque Terre,44,21,17,19,1,40.7500345,-73.9809527
11,Fino,45,19,17,20,1,40.7053293,-74.0083623
12,Marchi's,47,21,19,21,1,40.743159,-73.977576
13,Nicola Paone,52,21,19,20,1,40.7456294,-73.9775121
14,Notaro,35,19,17,19,1,40.7452948,-73.9757772
15,Rossini's,47,20,18,21,1,40.7492299,-73.9789166
16,Trattoria Alba,37,21,19,21,1,40.7452581,-73.9765117
17,Villa Berulia,45,22,18,23,1,40.7469315,-73.9805395
18,Il Postino,57,24,21,22,1,40.7537641,-73.9674672
19,Luna Blu,38,19,17,18,1,40.7877862,-73.971662
20,San Giusto,51,22,20,22,1,40.7546684,-73.968976
21,Grifone,54,23,20,23,1,40.7524063,-73.970995
22,Nanni's,51,23,17,21,1,40.7535761,-73.9736762
23,Osteria Laguna,38,20,18,18,1,40.7506553,-73.9735662
24,Bellini,49,22,21,21,1,40.784664,-73.973303
25,Cellini,45,22,20,22,1,40.7601524,-73.9726722
26,Anche Vivolo,37,19,17,19,1,40.7603202,-73.9661198
27,Bruno Ristorante,50,22,19,22,1,40.7600574,-73.9655842
28,Chianti,43,20,16,18,1,40.7286979,-73.9872499
29,Da Antonio Ristorante,49,22,19,20,1,40.7593008,-73.9688772
30,Harry Cipriani,65,21,20,20,1,40.7643722,-73.9726444
31,La Gioconda,34,20,16,18,1,40.7571212,-73.9683815
32,Bice,51,21,20,18,1,40.7609322,-73.9745417
33,Coco Pazzo Café,49,20,19,19,1,40.7259028,-74.0015739
34,DeGrezia,51,23,22,23,1,40.755495,-73.9694411
35,FELIDIA,62,25,22,23,1,40.7603663,-73.9651132
36,Fresco by Scotto,50,23,21,21,1,40.7588889,-73.9744444
37,Giambelli,51,21,18,20,1,40.75732,-73.974902
38,Il Menestrello,52,22,19,22,1,40.7573739,-73.9749103
39,Il Nido,57,24,20,23,1,40.7640792,-73.9840072
40,Il Valentino,49,21,20,21,1,40.7593449,-73.9618087
41,Luna Piena,33,19,17,18,1,40.7572,-73.96766
42,Paper Moon Milano,43,19,17,17,1,40.7629313,-73.9714374
43,Teodora,41,21,17,18,1,40.760997,-73.9686181
44,San Pietro,58,24,21,23,1,40.7602661,-73.9740488
45,Bravo Gianni,56,22,17,21,1,40.7632411,-73.9634211
46,Canaletto,44,22,17,21,1,40.7618463,-73.9656421
47,Il Gatto & La Volpe,37,20,15,20,1,40.7558395,-73.9801056
48,Il Valletto Due Mila,56,21,17,20,1,40.7638041,-73.9675721
49,Scalinatella,58,24,18,21,1,40.7628207,-73.9654135
50,Barbaresco,44,16,16,16,1,40.7654431,-73.9656798
51,Da Filippo,46,20,18,20,1,40.7671583,-73.9599302
52,East River Cafe,40,20,20,20,1,40.7608999,-73.9614481
53,Fred's at Barneys NY,39,19,18,17,1,40.7645456,-73.9714809
54,Il Vagabondo,36,17,14,17,1,40.7619226,-73.9611787
55,Mediterraneo,34,18,15,16,1,40.7650482,-73.9608071
56,Nello,54,18,16,15,1,40.7657721,-73.9700109
57,Primola,51,23,17,20,1,40.7639016,-73.9617463
58,Gino,41,20,14,19,1,40.7752856,-73.9513835
59,Via Oreto,40,22,17,20,1,40.7612205,-73.9610286
60,Bardolino,24,18,13,18,1,40.7866091,-73.9500891
61,Campagnola,53,24,20,21,1,40.7689192,-73.9549861
62,Cucina Vivolo,31,19,16,17,1,40.7717097,-73.9616177
63,Grace's Trattoria,35,18,16,17,1,40.7665268,-73.9603149
64,Lumi,49,20,19,19,1,40.7691194,-73.9629115
65,Mezzaluna,38,19,15,17,1,40.7711518,-73.9592566
66,Sette Mezzo,48,21,16,18,1,40.7693015,-73.9628428
67,Vivolo,43,20,19,20,1,40.7716806,-73.9615488
68,Zucchero e Pomodori,29,17,14,15,1,40.7706589,-73.9572838
69,Baraonda,37,17,18,15,1,40.7707668,-73.9572477
70,Coco Pazzo,55,22,21,20,1,40.7260026,-74.0015654
71,Due,37,22,18,20,1,40.7746951,-73.9573127
72,Il Monello,55,23,20,22,1,40.7715351,-73.956049
73,Lusardi's,49,24,20,22,1,40.7724018,-73.9554555
74,Maruzzella,33,19,14,18,1,40.7713111,-73.9536911
75,Nino's,52,23,20,22,1,40.7681893,-73.9554854
76,Parma,47,22,16,21,1,40.7749144,-73.9571707
77,Il Riccio,43,21,16,20,1,40.7746452,-73.9587937
78,Andiamo,33,18,17,18,1,40.7609961,-73.9911161
79,Caffe Grazie,38,18,16,19,1,40.7794797,-73.9601024
80,Giovanni Venticinque,48,21,18,19,1,40.7791699,-73.9602975
81,Girasole,50,21,18,21,1,40.7768722,-73.9569569
82,Paola's,46,23,19,21,1,40.7822161,-73.9534431
83,Rughetta,38,23,19,24,1,40.7766339,-73.9503329
84,Triangolo,33,20,16,19,1,40.7753307,-73.9512054
85,Cafe Trevi,46,23,19,23,1,40.7739194,-73.9511825
86,Divino Ristorante,37,19,15,19,1,40.7743791,-73.9540066
87,Elio's,50,23,18,20,1,40.7768491,-73.9528391
88,Erminia,54,25,24,24,1,40.7759942,-73.9535902
89,Firenze,41,21,19,21,1,40.7753307,-73.9512054
90,Luca,37,21,15,18,1,40.7785041,-73.9478921
91,Nicola's,50,22,18,21,1,40.7778911,-73.9562111
92,Primavera,60,24,22,23,1,40.7808566,-73.9484272
93,Sirabella's,36,23,16,22,1,40.7729405,-73.9465744
94,Sistina,54,23,19,21,1,40.7776092,-73.9616775
95,Spada,39,19,18,18,1,40.7851656,-73.9727641
96,Trattoria Rustica,35,20,16,18,1,40.7766873,-73.9505051
97,Carino Ristorante,30,19,13,20,1,40.7794927,-73.9501884
98,Quattro Gatti,41,19,17,19,1,40.7756014,-73.9559819
99,Tony's Di Napoli,30,19,14,17,1,40.7643584,-73.9642451
100,Ecco-la,25,18,15,15,1,40.7832166,-73.9509849
101,Joanna's,43,19,18,21,1,40.7845911,-73.9564441
102,Vico,45,20,15,17,1,40.7850107,-73.9560731
103,Rao's,57,23,16,20,1,40.7940354,-73.9341881
104,Basta Pasta,32,18,15,17,0,40.7388217,-73.9940877
105,Campagna,51,24,21,21,1,40.7756014,-73.9559819
106,Follonico,48,23,20,21,1,40.7425397,-73.9925209
107,Ribollita,36,18,16,16,1,40.7332889,-73.9915722
108,Bondí Ristorante´,37,20,17,19,0,40.7401891,-73.9939379
109,Casa Mia,31,20,19,19,1,40.7516713,-74.0035607
110,Novitá,47,23,19,21,1,40.7392735,-73.9865086
111,Paul & Jimmy's,40,19,16,19,1,40.7367758,-73.9873131
112,Sal Anthony's,37,18,16,18,1,40.7341941,-73.9916925
113,Enoteca i Trulli,43,23,20,21,1,40.7421141,-73.9836031
114,I Trulli,51,23,22,21,1,40.7421299,-73.9835497
115,Lamarca,19,18,9,15,1,40.7383646,-73.9837655
116,Supreme Macaroni Co.,28,17,14,17,0,40.7562651,-73.9944412
117,Veronica,22,21,6,14,0,40.7392209,-73.9867219
118,Arno,41,19,17,19,0,40.7535098,-73.9884463
119,Amarone,33,19,15,18,0,40.7616999,-73.9899587
120,Cara Mia,29,19,15,17,0,40.7620958,-73.9901861
121,Casa Di Meglio,33,19,17,18,0,40.7607614,-73.9861055
122,La Rivista,45,19,16,18,0,40.7602555,-73.9885888
123,Trattoria Dopo Teatro,38,17,16,17,0,40.7567291,-73.9842562
124,Barbetta,52,20,23,20,0,40.7603603,-73.9889508
125,Becco,38,20,17,19,0,40.7607311,-73.9898836
126,Coco Pazzo Teatro,47,18,18,17,0,40.7260026,-74.0015654
127,Orso,46,22,18,20,0,40.7600935,-73.9889506
128,Osteria al Doge,40,20,17,18,0,40.7567432,-73.9848192
129,Pietrasanta,32,20,15,19,0,40.7618502,-73.9904968
130,Rainbow Grill,65,19,23,18,0,40.7593177,-73.9793496
131,Torre di Pisa,47,19,21,17,0,40.7555245,-73.9808451
132,San Domenico,65,23,22,22,0,40.7432105,-73.9870892
133,Trionfo,45,20,17,21,0,40.7623132,-73.9848896
134,ViceVersa,46,22,22,20,0,40.7635294,-73.9868068
135,Artusi,44,20,19,20,0,40.7337081,-74.0051144
136,Ciao Europa,40,19,19,18,0,40.7624004,-73.9780667
137,Limoncello,46,19,18,20,0,40.7614104,-73.9827821
138,Puttanesca,32,19,15,17,0,40.7435538,-73.9995402
139,Rino Trattoria,23,20,14,16,0,40.7639193,-73.9852801
140,Sette MoMA,42,18,21,17,0,40.7613258,-73.9774014
141,Trattoria Del Sogno,29,21,18,19,0,40.7654494,-73.9827245
142,Castellano,49,21,18,20,0,40.7634751,-73.9798411
143,Circo Osteria del,53,22,24,21,0,40.7630705,-73.9793577
144,Giovanni,45,22,19,21,0,40.8014826,-73.9609863
145,Palio,63,22,25,22,0,40.7614804,-73.9814283
146,Remi,52,23,23,21,0,40.7626274,-73.9808411
147,Tuscan Square,40,19,20,17,0,40.7592896,-73.9775348
148,Vago Ristorante,45,22,21,23,0,40.7452344,-73.9781198
149,Bello,38,21,17,20,0,40.7675063,-73.9863841
150,Caffe Cielo,38,18,17,18,0,40.7611711,-73.9859561
151,Da Tommaso,42,21,16,20,0,40.7646826,-73.9847659
152,Il Tinello,57,23,19,23,0,40.7626722,-73.9756267
153,Nocello,39,21,19,20,0,40.7653189,-73.9833371
154,Tino's,43,20,18,18,0,40.7629181,-73.9765271
155,Mangia e Bevi,29,17,14,16,0,40.7653826,-73.9872991
156,Patsy's,42,20,16,19,0,40.7656694,-73.9827186
157,Gabriel's,50,22,19,21,0,40.7693649,-73.9828696
158,Pappardella,34,18,16,17,0,40.7793452,-73.9776035
159,Ernie's,31,16,15,16,0,40.7814599,-73.9806864
160,Pomodoro Rosso,31,20,17,19,0,40.7763848,-73.9792822
161,Scaletta,46,21,19,22,0,40.7802562,-73.9757909
162,"La Grolla, Ristorante",42,21,15,19,0,40.7832954,-73.9779866
163,"Sambuca, Trattoria",31,19,16,18,0,40.7766357,-73.9773984
164,Baci,31,17,15,16,0,40.78373,-73.9782929
165,Puccini,26,20,16,17,0,40.7660899,-73.9868605
166,Bella Luna,31,18,16,17,0,40.7877657,-73.9714694
167,Métisse,38,22,17,21,0,40.8005764,-73.9675537
168,Gennaro,34,24,10,16,0,40.791824,-73.9717531
